연월일,시분초,온도,습도,강수량,풍향
2023-12-08,10:42:42,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:52,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:02,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:13,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:23,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:33,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:43,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:53,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:44:03,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:44:14,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
